channel,message_id,posted_at,text,type
AI Digest,101,2024-05-20,"OpenAI объявила закрытую бета-версию инструмента для генерации кода на естественном языке, напоминающего Copilot.",новость
AI Digest,102,2024-05-21,"Бета-пользователи жалуются на медленную работу новой модели, особенно на задачах с большими инструкциями.",комментарий
AI Digest,103,2024-05-22,"Новый отчёт MIT: крупные языковые модели в паре с экспертом сокращают время анализа данных на 40%.",исследование
AI Digest,104,2024-05-22,"Подборка open-source моделей для локального запуска: Llama 3, Gemma 2, Mistral Large.",дайджест
AI Digest,105,2024-05-23,"Реклама курса: «Prompt Engineering за 7 дней» со скидкой 40%.",реклама
Neural Daily,201,2024-05-21,"Утечки: GPT-5 может выйти осенью, основная ставка на безопасное планирование длинных цепочек рассуждений.",слух
Neural Daily,202,2024-05-21,"Meta обновила Llama 3.1 с дообучением на коде, обещают +18% в HumanEval.",новость
Neural Daily,203,2024-05-22,"Tesla открыла часть данных для обучения автопилота в академическое сообщество, но без видеопотока.",новость
Neural Daily,204,2024-05-23,"Обзор свежих багов в Claude 3.5: забывает контекст после 60 сообщений, подмена инструкций.",разбор
Neural Daily,205,2024-05-24,"Реклама хостинга для LLM-агентов: GPU A100 от $1.9/час, ссылка по рефералу.",реклама
ML Insider,301,2024-05-19,"Сравнение Mistral Large и GPT-4o на задачах аналитики: вывод — выигрывает GPT по точности, но медленнее.",разбор
ML Insider,302,2024-05-20,"Mistral анонсировала бесплатный тариф для разработчиков — 350k токенов в сутки.",новость
ML Insider,303,2024-05-21,"Дискуссия: нужно ли запрещать ИИ-генерацию на научных конференциях?",мнение
ML Insider,304,2024-05-22,"Слухи о GPT-5: фокус на инструктируемости, меньше галлюцинаций. Похожий текст был вчера в AI Digest.",слух
ML Insider,305,2024-05-23,"Мини-гайд: как пересчитывать эмбеддинги при обновлении словаря токенизатора.",гайд
Future of AI,401,2024-05-18,"Китайские медиаресурсы обсуждают новые ограничения на экспорт AI-чипов из США.",новость
Future of AI,402,2024-05-19,"Репост статьи про Llama 3.1 — уже публиковали, но с новым переводом.",репост
Future of AI,403,2024-05-20,"Слухи о GPT-5: OpenAI тестирует расширенный контекст до 256k, часть источников сомневается.",слух
Future of AI,404,2024-05-22,"Неинтересный пост: мем про робота-бариста без описания.",мем
Future of AI,405,2024-05-23,"Сборник ссылок на датасеты для RLHF: StackExchange, Code Alpaca, Orca-style диалоги.",дайджест
AI Pro Ads,501,2024-05-20,"Реклама: нейросеть для генерации презентаций за 30 секунд. Промокод TELEAI.",реклама
AI Pro Ads,502,2024-05-21,"Баннер: установи бесплатный VPN для доступа к ChatGPT — ссылка.",реклама
AI Pro Ads,503,2024-05-22,"Пост-партнёрка: сервис записи звонков с авто-резюме на GPT, скидка 25%.",реклама
AI Pro Ads,504,2024-05-23,"Нативная реклама: «Наш бот помогает готовить заявки на гранты с проверкой текста моделью».",реклама
AI Pro Ads,505,2024-05-24,"Фальшивая новость: «OpenAI дарит 1000 токенов каждому подписчику канала».",фейк
Neural Daily,206,2024-05-24,"Продление: Meta подтверждает, что Llama 3.1 получила обновлённые фильтры безопасности и новую лицензию.",новость
ML Insider,306,2024-05-24,"Апдейт статьи про Mistral тарифы: добавили веб-интерфейс с тестовым playground.",обновление
AI Digest,106,2024-05-24,"Похожее на вчера: слухи о GPT-5 снова обсуждают, теперь акцент на мультимодальность аудио/видео.",слух
Future of AI,406,2024-05-24,"Кратко: исследование MIT про ускорение анализа с LLM — те же 40% экономии, что писали в AI Digest.",исследование
AI Digest,107,2024-05-24,"Разбор: почему некоторые каналы публикуют одинаковые новости о GPT-5 — пример с Neural Daily и Future of AI.",разбор
